rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,1,2,"8271129"
2,"spotify:track:6uvMKqNlrSvcC4NaKnrwjZ","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Atlantic Records UK",1,2,5,"3360453"
3,"spotify:track:6HU7h9RYOaPRFeh0R3UeAr","Olivia Rodrigo","deja vu","Olivia Rodrigo PS",3,7,8,"3323325"
4,"spotify:track:748mdHapucXQri7IAO8yFK","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",2,3,7,"2739595"
5,"spotify:track:5wANPM4fQCJwkGd4rN57mH","Olivia Rodrigo","drivers license","Olivia Rodrigo PS",1,14,20,"2654846"
6,"spotify:track:67BtfxlNbhBmCDR2L2l8qd","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,4,9,"2453723"
7,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",7,-1,1,"2431047"
8,"spotify:track:6SRsiMl7w1USE4mFqrOhHC","Olivia Rodrigo","brutal","Olivia Rodrigo PS",8,-1,1,"2228584"
9,"spotify:track:2TOzTqQXNmR2zDJXihjZ2e","Olivia Rodrigo","enough for you","Olivia Rodrigo PS",9,-1,1,"1952019"
10,"spotify:track:2tGvwE8GcFKwNdAXMnlbfl","Olivia Rodrigo","happier","Olivia Rodrigo PS",10,-1,1,"1853950"
11,"spotify:track:4wcBRRpIfesgcyUtis7PEg","Olivia Rodrigo","1 step forward, 3 steps back","Olivia Rodrigo PS",11,-1,1,"1826943"
12,"spotify:track:43PGPuHIlVOc04jrZVh9L6","Polo G","RAPSTAR","Columbia",3,5,7,"1803044"
13,"spotify:track:5JCoSi02qi3jJeHdZXMmR8","Olivia Rodrigo","favorite crime","Olivia Rodrigo PS",13,-1,1,"1766680"
14,"spotify:track:0MMyJUC3WNnFS1lit5pTjk","Olivia Rodrigo","jealousy, jealousy","Olivia Rodrigo PS",14,-1,1,"1620539"
15,"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Justin Bieber, Daniel Caesar, Giveon","Peaches (feat. Daniel Caesar & Giveon)","RBMG/Def Jam",1,6,10,"1615231"
16,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",7,8,34,"1567168"
17,"spotify:track:0siYMEsGrzzzlWLXK5zJfS","Joel Corry, RAYE, David Guetta","BED","Perfect Havoc / Asylum Records",4,12,13,"1564088"
18,"spotify:track:3VqeTFIvhxu3DIe4eZVzGq","BTS","Butter","BIGHIT MUSIC",18,-1,1,"1509416"
19,"spotify:track:1zejeOnykpCoyVSit6Bwp3","Olivia Rodrigo","hope ur ok","Olivia Rodrigo PS",19,-1,1,"1432920"
20,"spotify:track:4cG7HUWYHBV6R6tHn1gxrl","Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Ministry of Sound Recordings",3,13,18,"1425751"
21,"spotify:track:15OCqNPYoLziEAsbVnqRj5","Mimi Webb","Good Without","Epic",21,33,9,"1281556"
22,"spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP","Galantis, David Guetta, Little Mix","Heartbreak Anthem (with David Guetta & Little Mix)","Big Beat Records",22,-1,1,"1232662"
23,"spotify:track:3Iba59sFmGhQ4kbCY5L8AX","Tom Grennan","Little Bit of Love","Insanity Records",12,19,13,"1232286"
24,"spotify:track:776AftMmFFAWUIEAb3lHhw","Måneskin","ZITTI E BUONI","RCA Records Label",24,-1,1,"1218738"
25,"spotify:track:3VT8hOC5vuDXBsHrR53WFh","Masked Wolf","Astronaut In The Ocean","Elektra (NEK)",18,20,16,"1201611"
26,"spotify:track:5erCwioOcRwP59NJUAtEK3","D-Block Europe, RAYE","Ferrari Horses","D-Block Europe",11,21,13,"1194023"
27,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",12,22,32,"1191841"
28,"spotify:track:5YaskwnGDZFDRipaqzbwQx","ATB, Topic, A7S","Your Love (9PM)","Virgin",11,17,17,"1189638"
29,"spotify:track:6f3Slt0GbA2bPZlz0aIFXN","Tiësto","The Business","Atlantic Records",4,18,28,"1170705"
30,"spotify:track:53HqOfi7OfHRXzcWTdGJB3","AJ Tracey","Little More Love","Revenge Records",20,24,6,"1099790"
31,"spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q","Majestic, Boney M.","Rasputin","NITRON music",25,26,9,"1064502"
32,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",1,28,47,"1054048"
33,"spotify:track:4CH0dVylkeBPydRM7AaG8g","Ella Henderson, Tom Grennan","Let’s Go Home Together","Atlantic Records UK",24,29,13,"1037136"
34,"spotify:track:5W8jRrZ6tWrTrqnKRtIQBf","J. Cole, Lil Baby","p r i d e . i s . t h e . d e v i l (with Lil Baby)","Dreamville, Inc., Under exclusive license to Roc Nation Records",10,10,2,"990118"
35,"spotify:track:1D3z6HTiQsNmZxjl7F7eoG","J. Cole, 21 Savage, Morray","m y . l i f e (with 21 Savage & Morray)","Dreamville, Inc., Under exclusive license to Roc Nation Records",9,9,2,"969013"
36,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,35,78,"951675"
37,"spotify:track:37BZB0z9T8Xu7U3e65qxFy","The Weeknd, Ariana Grande","Save Your Tears (with Ariana Grande) (Remix)","Republic Records",17,32,5,"937559"
38,"spotify:track:3kNWyHdLVW1x6pn9EnSQ1H","Tom Zanetti","Didn't Know","SiC Records Limited",33,38,14,"936467"
39,"spotify:track:3CVb6hkMrlF7eHhXi5B3PZ","Russ Millions, Tion Wayne","Body","Atlantic Records UK",9,30,9,"916649"
40,"spotify:track:7pnQ23WgZca9jEfMts9qsR","A1 x J1","Latest Trends","EMI",4,34,16,"904019"
41,"spotify:track:3J8EOeKLTLXORtWPpOU5bE","Lil Tjay, 6LACK","Calling My Phone","Columbia",1,37,15,"900481"
42,"spotify:track:40JjCZcdzT9ldZk5DhFqdZ","Little Mix, Saweetie","Confetti (feat. Saweetie)","RCA Records Label",42,57,4,"898597"
43,"spotify:track:1KixkQVDUHggZMU9dUobgm","Ava Max","My Head & My Heart","Atlantic Records",26,39,15,"867450"
44,"spotify:track:5qNh5WtzMbfpSj2jLlBkoD","Billie Eilish","Your Power","Darkroom/Interscope Records",4,25,4,"854286"
45,"spotify:track:6xw8ld1ztoCKifwTN6uGDq","Griff","Black Hole","Warner Records",45,47,9,"852108"
46,"spotify:track:27OeeYzk6klgBh83TSvGMA","The Kid LAROI","WITHOUT YOU","Columbia",2,43,29,"831180"
47,"spotify:track:2cnKST6T9qUo2i907lm8zX","J. Cole","a m a r i","Dreamville, Inc., Under exclusive license to Roc Nation Records",11,11,2,"820269"
48,"spotify:track:2qzW5AK8ldKUOWUETwAkZY","Dave","Titanium","Neighbourhood",9,41,7,"812895"
49,"spotify:track:7BoobGhD4x5K96Me0hqC8Q","Bella Poarch","Build a Bitch","Warner Records",49,89,2,"810646"
50,"spotify:track:7MAibcTli4IisCtbHKrGMh","Bruno Mars, Anderson .Paak, Silk Sonic","Leave The Door Open","Aftermath Entertainment/Atlantic",22,42,12,"806884"
51,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",40,48,16,"792763"
52,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",36,53,231,"784470"
53,"spotify:track:1v1oIWf2Xgh54kIWuKsDf6","AURORA","Runaway","Glassnote Entertainment Group LLC",31,45,9,"750691"
54,"spotify:track:0UCKUJU94sx8XBQnaNsRkB","Central Cee","Commitment Issues","Central Cee",9,50,15,"742697"
55,"spotify:track:60ynsPSSKe6O3sfwRnIBRf","Doja Cat","Streets","Kemosabe Records/RCA Records",5,49,20,"742669"
56,"spotify:track:44xO8889yUQHn70P73NILS","Navos","Believe Me","Universal-Island Records Ltd.",29,54,16,"741089"
57,"spotify:track:5QO79kh1waicV47BqGRL3g","The Weeknd","Save Your Tears","Republic Records",7,51,23,"719495"
58,"spotify:track:5zqObw7wjBgL9TDiAymxPn","Anne-Marie, Niall Horan","Our Song","Atlantic Records/Asylum",58,-1,1,"719221"
59,"spotify:track:1M4OcYkxAtu3ErzSgDEfoi","Cardi B","Up","Atlantic Records",16,52,16,"685483"
60,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",1,62,126,"685245"
61,"spotify:track:1VLtjHwRWOVJiE5Py7JxoQ","Polo G","Martin & Gina","Columbia",45,61,38,"675580"
62,"spotify:track:0939D7aT18uBDS2MTjWzct","Coldplay","Higher Power","Parlophone UK",30,56,3,"665981"
63,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",4,65,80,"650347"
64,"spotify:track:1nahzW3kfMuwReTka28tH5","Justin Bieber","Hold On","RBMG/Def Jam",7,58,12,"647032"
65,"spotify:track:5gjATWO1EIhrCP1CQ2GWg8","Rag'n'Bone Man, P!nk","Anywhere Away from Here (Rag’n’Bone Man & P!nk)","Best Laid Plans/Columbia",51,59,5,"640849"
