rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Justin Bieber, Daniel Caesar, Giveon","Peaches (feat. Daniel Caesar & Giveon)","RBMG/Def Jam",1,1,2,"2978749"
2,"spotify:track:3BZEcbdtXQSo7OrvKRJ6mb","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",2,-1,1,"2696857"
3,"spotify:track:4cG7HUWYHBV6R6tHn1gxrl","Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Ministry of Sound Recordings",3,6,10,"1925578"
4,"spotify:track:7lPN2DXiMsVn7XUKtOW1CS","Olivia Rodrigo","drivers license","Olivia Rodrigo PS",1,2,12,"1899921"
5,"spotify:track:6f3Slt0GbA2bPZlz0aIFXN","Tiësto","The Business","Atlantic Records",4,4,20,"1855704"
6,"spotify:track:5Kskr9LcNYa0tpt5f0ZEJx","Lil Tjay, 6LACK","Calling My Phone","Columbia",1,3,7,"1794637"
7,"spotify:track:7pnQ23WgZca9jEfMts9qsR","A1 x J1","Latest Trends","EMI",4,5,8,"1741395"
8,"spotify:track:0siYMEsGrzzzlWLXK5zJfS","Joel Corry, RAYE, David Guetta","BED","Perfect Havoc / Asylum Records",8,9,5,"1702124"
9,"spotify:track:4I5bvu2KDsrCg0EWHIcvul","Anne-Marie, KSI, Digital Farm Animals","Don't Play","Asylum Records",2,10,11,"1562947"
10,"spotify:track:27OeeYzk6klgBh83TSvGMA","The Kid LAROI","WITHOUT YOU","Columbia",2,8,21,"1488303"
11,"spotify:track:1nahzW3kfMuwReTka28tH5","Justin Bieber","Hold On","RBMG/Def Jam",7,7,4,"1468024"
12,"spotify:track:0UCKUJU94sx8XBQnaNsRkB","Central Cee","Commitment Issues","Central Cee",9,12,7,"1458242"
13,"spotify:track:3iw6V4LH7yPj1ESORX9RIN","Nathan Evans, 220 KID, Billen Ted","Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Polydor Records",10,11,10,"1423525"
14,"spotify:track:5QO79kh1waicV47BqGRL3g","The Weeknd","Save Your Tears","Republic Records",7,14,15,"1366469"
15,"spotify:track:5YaskwnGDZFDRipaqzbwQx","ATB, Topic, A7S","Your Love (9PM)","Virgin",14,18,9,"1358605"
16,"spotify:track:1M4OcYkxAtu3ErzSgDEfoi","Cardi B","Up","Atlantic Records",16,19,8,"1356328"
17,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",1,20,39,"1319971"
18,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",18,23,24,"1300057"
19,"spotify:track:3VT8hOC5vuDXBsHrR53WFh","Masked Wolf","Astronaut In The Ocean","Elektra (NEK)",19,22,8,"1282032"
20,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,21,70,"1211639"
21,"spotify:track:3CVb6hkMrlF7eHhXi5B3PZ","Russ Millions, Tion Wayne","Body","Atlantic Records UK",21,-1,1,"1208404"
22,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",12,25,26,"1199796"
23,"spotify:track:5J5CpT6bgE6KYKk23jgp9W","KSI, YUNGBLUD, Polo G","Patience (feat. YUNGBLUD & Polo G)","BMG Rights Management (US) LLC",2,13,3,"1192868"
24,"spotify:track:15OCqNPYoLziEAsbVnqRj5","Mimi Webb","Good Without","Epic",24,-1,1,"1190629"
25,"spotify:track:60ynsPSSKe6O3sfwRnIBRf","Doja Cat","Streets","Kemosabe Records/RCA Records",5,17,12,"1183492"
26,"spotify:track:6ft4hAq6yde8jPZY2i5zLr","MEDUZA, Dermot Kennedy","Paradise (feat. Dermot Kennedy)","Universal-Island Records Ltd.",6,24,22,"1124469"
27,"spotify:track:3Iba59sFmGhQ4kbCY5L8AX","Tom Grennan","Little Bit of Love","Insanity Records",27,35,5,"1119969"
28,"spotify:track:5erCwioOcRwP59NJUAtEK3","D-Block Europe, RAYE","Ferrari Horses","D-Block Europe",28,46,5,"1093004"
29,"spotify:track:44xO8889yUQHn70P73NILS","Navos","Believe Me","Universal-Island Records Ltd.",29,36,8,"1026697"
30,"spotify:track:055Mme9ReKK99jRFA5UJ55","Shane Codd","Get Out My Head","Polydor Records",19,29,20,"1003130"
31,"spotify:track:4jPy3l0RUwlUI9T5XHBW2m","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",1,31,33,"980142"
32,"spotify:track:1tLV0GD0WXQ1Z8BKOQscti","Central Cee","6 For 6","Central Cee",14,26,3,"970722"
33,"spotify:track:2WnAKZefdRHxtBEkRjFOHC","Justin Bieber","Anyone","RBMG/Def Jam",6,15,13,"957616"
34,"spotify:track:4vzJrkfHbCGaodPA5RY5BV","Central Cee","Loading","Central Cee",20,28,23,"955366"
35,"spotify:track:7MAibcTli4IisCtbHKrGMh","Bruno Mars, Anderson .Paak, Silk Sonic","Leave The Door Open","Aftermath Entertainment/Atlantic",22,32,4,"950567"
